"year","population","state"
2000,786373,"Delaware"
2000,16047515,"Florida"
2000,8227303,"Georgia"
2000,1213519,"Hawaii"
2000,2929067,"Iowa"
2000,1299430,"Idaho"
2000,12434161,"Illinois"
2000,6091866,"Indiana"
2000,2693681,"Kansas"
2000,4049021,"Kentucky"
2000,4471885,"Louisiana"
2000,6361104,"Massachusetts"
2000,5311034,"Maryland"
2000,1277072,"Maine"
2000,9952450,"Michigan"
2000,4933692,"Minnesota"
2000,5607285,"Missouri"
2000,2848353,"Mississippi"
2000,903773,"Montana"
2000,8081614,"North Carolina"
2000,642023,"North Dakota"
2000,1713820,"Nebraska"
2000,1239882,"New Hampshire"
2000,8430621,"New Jersey"
2000,1821204,"New Mexico"
2000,2018741,"Nevada"
2000,19001780,"New York"
2000,11363543,"Ohio"
2000,3454365,"Oklahoma"
2000,3429708,"Oregon"
2000,12284173,"Pennsylvania"
2000,1050268,"Rhode Island"
2000,4024223,"South Carolina"
2000,755844,"South Dakota"
2000,5703719,"Tennessee"
2000,20944499,"Texas"
2000,2244502,"Utah"
2000,7105817,"Virginia"
2000,609618,"Vermont"
2000,5910512,"Washington"
2000,5373999,"Wisconsin"
2000,1807021,"West Virginia"
2000,494300,"Wyoming"
2001,633714,"Alaska"
2001,4467634,"Alabama"
2001,2691571,"Arkansas"
2001,5273477,"Arizona"
2001,34479458,"California"
2001,4425687,"Colorado"
2001,3432835,"Connecticut"
2001,574504,"District of Columbia"
2001,795699,"Delaware"
2001,16356966,"Florida"
2001,8377038,"Georgia"
2001,1225948,"Hawaii"
2001,2931997,"Iowa"
2001,1319962,"Idaho"
2001,12488445,"Illinois"
2001,6127760,"Indiana"
2001,2702162,"Kansas"
2001,4068132,"Kentucky"
2001,4477875,"Louisiana"
2001,6397634,"Massachusetts"
2001,5374691,"Maryland"
2001,1285692,"Maine"
2001,9991120,"Michigan"
2001,4982796,"Minnesota"
2001,5641142,"Missouri"
2001,2852994,"Mississippi"
2001,906961,"Montana"
2001,8210122,"North Carolina"
2001,639062,"North Dakota"
2001,1719836,"Nebraska"
2001,1255517,"New Hampshire"
2001,8492671,"New Jersey"
2001,1831690,"New Mexico"
2001,2098399,"Nevada"
2001,19082838,"New York"
2001,11387404,"Ohio"
2001,3467100,"Oklahoma"
2001,3467937,"Oregon"
2001,12298970,"Pennsylvania"
2001,1057142,"Rhode Island"
2001,4064995,"South Carolina"
2001,757972,"South Dakota"
2001,5750789,"Tennessee"
