State,Overall Homeless,Year
Oklahoma,4199,2017
Oregon,13953,2017
Pennsylvania,14138,2017
Puerto Rico,3525,2017
Rhode Island,1180,2017
South Carolina,3916,2017
South Dakota,943,2017
Tennessee,8309,2017
Texas,23548,2017
Utah,2852,2017
Virginia,6067,2017
Virgin Islands,381,2017
Vermont,1225,2017
Washington,21112,2017
Wisconsin,5027,2017
West Virginia,1309,2017
Wyoming,873,2017
Alaska,1940,2016
Alabama,4111,2016
Arkansas,2463,2016
Arizona,9707,2016
California,118142,2016
Colorado,10550,2016
Connecticut,3902,2016
District of Columbia,8350,2016
Delaware,1070,2016
Florida,33559,2016
Georgia,12909,2016
Guam,1085,2016
Hawaii,7921,2016
Iowa,3064,2016
Idaho,2247,2016
Illinois,11590,2016
Indiana,5798,2016
Kansas,2255,2016
Kentucky,4237,2016
Louisiana,3994,2016
Massachusetts,19608,2016
Maryland,7689,2016
Maine,2241,2016
Michigan,9316,2016
Minnesota,7341,2016
Missouri,6194,2016
Mississippi,1738,2016
Montana,1418,2016
North Carolina,9559,2016
North Dakota,923,2016
Nebraska,2754,2016
New Hampshire,1366,2016
New Jersey,8895,2016
New Mexico,2263,2016
Nevada,7398,2016
New York,86352,2016
Ohio,10404,2016
Oklahoma,4107,2016
Oregon,13238,2016
Pennsylvania,15339,2016
Puerto Rico,4418,2016
Rhode Island,1160,2016
South Carolina,5051,2016
South Dakota,1072,2016
Tennessee,8779,2016
Texas,23122,2016
Utah,2807,2016
Virginia,6268,2016
Virgin Islands,341,2016
Vermont,1117,2016
Washington,20827,2016
Wisconsin,5685,2016
West Virginia,1387,2016
Wyoming,857,2016
Alaska,1956,2015
Alabama,3970,2015
Arkansas,2560,2015
Arizona,9896,2015
California,115738,2015
Colorado,9953,2015
Connecticut,4047,2015
District of Columbia,7298,2015
Delaware,953,2015
Florida,35900,2015
Georgia,13790,2015
Guam,1280,2015
Hawaii,7620,2015
Iowa,3081,2015
Idaho,1966,2015
Illinois,13177,2015
Indiana,5863,2015
Kansas,2588,2015
Kentucky,4538,2015
Louisiana,4081,2015
Massachusetts,21135,2015
Maryland,8390,2015
Maine,2372,2015
Michigan,10516,2015
Minnesota,7546,2015
Missouri,6482,2015
Mississippi,1983,2015
Montana,1709,2015
North Carolina,10685,2015
North Dakota,1305,2015
Nebraska,2744,2015
New Hampshire,1445,2015
New Jersey,10098,2015
New Mexico,2629,2015
Nevada,8743,2015
New York,88250,2015
Ohio,11182,2015
Oklahoma,3777,2015
Oregon,13226,2015
Pennsylvania,15421,2015
Puerto Rico,4518,2015
Rhode Island,1111,2015
South Carolina,5354,2015
South Dakota,1036,2015
Tennessee,9123,2015
Texas,23678,2015
