"state","year","inflation"
"Hawaii",2004,3.3041542
"Hawaii",2005,2.717276825
"Hawaii",2006,4.1207301
"Hawaii",2007,3.2532993
"Hawaii",2008,5.360196825
"Hawaii",2009,-0.4342674575
"Hawaii",2010,3.870673225
"Hawaii",2011,5.147615175
"Hawaii",2012,1.4948046075
"Hawaii",2013,0.2509218325
"Hawaii",2014,2.3354988575
"Hawaii",2015,-0.00442601750000005
"Hawaii",2016,-0.0909444899999999
"Hawaii",2017,1.54575276
"Illinois",1978,4.965463625
"Illinois",1979,7.461100575
"Illinois",1980,8.1231489
"Illinois",1981,6.79639495
"Illinois",1982,3.30240065
"Illinois",1983,2.220682075
"Illinois",1984,2.251571925
"Illinois",1985,2.3115463
"Illinois",1986,1.3933073575
"Illinois",1989,4.515126075
"Illinois",1990,3.3405665
"Illinois",1991,3.704628525
"Illinois",1992,1.884185925
"Illinois",1993,2.410146125
"Illinois",1994,0.7560400276275
"Illinois",1995,3.596176125
"Illinois",1996,2.045104875
"Illinois",1997,1.91732555
"Illinois",1998,1.066823845
"Illinois",1999,1.91038055
"Illinois",2000,3.0677179
"Illinois",2001,1.8800608625
"Illinois",2002,2.1077848675
"Illinois",2003,2.22918645
"Illinois",2004,1.5270903325
"Illinois",2005,2.44460595
"Illinois",2006,2.16010155
"Illinois",2007,3.8152939
"Illinois",2008,3.457715025
"Illinois",2009,0.0471626125
"Illinois",2010,2.86960875
"Illinois",2011,2.4641297
"Illinois",2012,1.6484698
"Illinois",2013,1.3600147775
"Illinois",2014,1.7692345825
"Illinois",2015,0.3199479775
"Illinois",2016,0.7290312875
"Illinois",2017,0.82275484675
"Indiana",1989,4.22869555
"Indiana",1990,2.7205905
"Indiana",1991,2.816737025
"Indiana",1992,1.1228340925
"Indiana",1993,1.950038825
"Indiana",1994,0.939685555
"Indiana",1995,2.682102125
"Indiana",1996,2.392136625
"Indiana",1997,2.497428475
"Indiana",1998,1.99555195
"Indiana",1999,1.3580368025
"Indiana",2000,3.395827175
"Indiana",2001,3.512143375
"Indiana",2002,1.926735925
"Indiana",2003,2.8197361
"Indiana",2004,2.264363325
"Indiana",2005,2.5196287
"Indiana",2006,2.283341775
"Indiana",2007,2.8019295
"Indiana",2008,4.45811385
"Indiana",2009,0.4895061675
"Indiana",2010,2.224055225
"Indiana",2011,4.1763816
"Indiana",2012,2.182396775
"Indiana",2013,1.788580425
"Indiana",2014,1.943956425
"Indiana",2015,0.163273755
"Indiana",2016,0.304832025
"Indiana",2017,2.655847525
"Kansas",1989,3.454394525
"Kansas",1990,3.917237325
"Kansas",1991,4.4113444
"Kansas",1992,2.45990515
"Kansas",1993,3.208461475
"Kansas",1994,1.44930188
"Kansas",1995,2.537617375
"Kansas",1996,2.073706125
"Kansas",1997,1.8259840075
"Kansas",1998,-0.6841128275
"Kansas",1999,1.948771525
"Kansas",2000,3.359631925
"Kansas",2001,3.445019025
"Kansas",2002,1.909847675
"Kansas",2003,3.34091885
"Kansas",2004,1.7739113
"Kansas",2005,2.66951635
"Kansas",2006,2.7991956
"Kansas",2007,2.286800425
"Kansas",2008,4.1892707
"Kansas",2009,-0.163132416
"Kansas",2010,3.11601195
"Kansas",2011,4.74498995
"Kansas",2012,1.92236031
"Kansas",2013,2.543404225
"Kansas",2014,0.1772407075
"Kansas",2015,-2.7657499
"Kansas",2016,0.92881699225
"Kansas",2017,0.7603087275
"Louisiana",1989,3.442489225
"Louisiana",1990,2.76553575
"Louisiana",1991,3.482873075
"Louisiana",1992,1.717787625
"Louisiana",1993,2.1496332
"Louisiana",1994,1.5285149275
"Louisiana",1995,2.31066235
"Louisiana",1996,3.677274375
"Louisiana",1997,2.4636275
"Louisiana",1998,0.2372490325
"Louisiana",1999,2.13825435
"Louisiana",2000,3.059915025
"Louisiana",2001,2.4657163
"Louisiana",2002,1.174003515
"Louisiana",2003,2.06577015
"Louisiana",2004,1.809787825
"Louisiana",2005,2.49405885
"Louisiana",2006,2.6845269975
"Louisiana",2007,1.4129943
"Louisiana",2008,3.824615925
"Louisiana",2009,-0.855063785
"Louisiana",2010,3.6136211
"Louisiana",2011,3.263044125
"Louisiana",2012,2.755185125
"Louisiana",2013,1.311763075
"Louisiana",2014,2.51315995
"Louisiana",2015,2.87778935
"Louisiana",2016,2.613968575
"Louisiana",2017,1.47128556
"Maryland",1978,-0.9929713975
"Maryland",1979,5.761918875
"Maryland",1980,9.9861231
"Maryland",1981,6.67450985
"Maryland",1982,5.10192275
"Maryland",1983,4.03616895
"Maryland",1984,3.188287875
"Maryland",1985,2.26576055
"Maryland",1986,2.982339525
"Maryland",1989,3.393947225
"Maryland",1990,3.766697725
"Maryland",1991,3.8825668
"Maryland",1992,2.21602785
"Maryland",1993,1.675659075
"Maryland",1994,1.7826084
"Maryland",1995,2.50508385
"Maryland",1996,2.01366925
"Maryland",1997,1.209177825
"Maryland",1998,1.650178125
"Maryland",1999,2.04983935
"Maryland",2000,1.829472525
"Maryland",2001,2.088857775
"Maryland",2002,1.91584025
"Maryland",2003,2.6404115
