year,state_fips,low,high,states,average_debt
2001,16,1.5,1.6,Idaho,1.55
2001,17,1.11,1.24,Illinois,1.175
2001,18,1.11,1.24,Indiana,1.175
2001,19,0.4,1.11,Iowa,0.7550000000000001
2001,20,0.4,1.11,Kansas,0.7550000000000001
2001,21,1.11,1.24,Kentucky,1.175
2001,22,1.11,1.24,Louisiana,1.175
2001,23,1.24,1.32,Maine,1.28
2001,24,1.6,1.72,Maryland,1.6600000000000001
2001,25,0.4,1.11,Massachusetts,0.7550000000000001
2001,26,1.24,1.32,Michigan,1.28
2001,27,1.11,1.24,Minnesota,1.175
2001,28,1.32,1.4,Mississippi,1.3599999999999999
2001,29,1.11,1.24,Missouri,1.175
2001,30,1.5,1.6,Montana,1.55
2001,31,0.4,1.11,Nebraska,0.7550000000000001
2001,32,1.5,1.6,Nevada,1.55
2001,33,1.24,1.32,New Hampshire,1.28
2001,34,1.11,1.24,New Jersey,1.175
2001,35,1.5,1.6,New Mexico,1.55
2001,36,0.4,1.11,New York,0.7550000000000001
2001,37,1.4,1.5,North Carolina,1.45
2001,38,0.4,1.11,North Dakota,0.7550000000000001
2001,39,1.11,1.24,Ohio,1.175
2001,40,1.11,1.24,Oklahoma,1.175
2001,41,1.6,1.72,Oregon,1.6600000000000001
2001,42,0.4,1.11,Pennsylvania,0.7550000000000001
2001,44,1.24,1.32,Rhode Island,1.28
